DLC info of: /content/model-opset-17.dlc
Model Version: 
Model Copyright:
"Converter command: qairt-converter; validate_models=False; user_custom_io=[]; use_onnx_relay=False; unroll_gru_time_steps=True; signature_name=; quantization_overrides=; pytorch_custom_op_lib=; prepare_inputs_as_params=False; perform_axes_to_spatial_first_order=True; unroll_lstm_time_steps=True; packed_max_seq=1; packed_masked_softmax_inputs=[]; output_layout=[]; show_unconsumed_nodes=False; out_names=[]; no_static_tensor_validation=False; no_simplification=False; no_optimization=False; multi_time_steps_gru=False; match_caffe_ssd_to_tf=False; lora_weight_list=None; preserve_onnx_output_order=False; perform_layout_transformation=False; dump_relay=None; keep_quant_nodes=False; keep_disconnected_nodes=False; input_dtype=[['x', 'float32'], ['prompt', 'int32']]; disable_preserve_io=False; handle_gather_negative_indices=True; converter_op_package_lib=; gguf_config=None; tf_summary=False; copyright_file=None; force_prune_cast_ops=False; use_convert_quantization_nodes=False; preserve_io_datatype=[]; package_name=None; dry_run=None; defer_loading=False; desired_io_layout=[]; input_type=[]; float_bitwidth=32; io_config=; model_version=None; float_bias_bitwidth=0; extract_color_transform=True; expand_sparse_op_structure=False; expand_lstm_op_structure=False; input_layout=[]; saved_model_signature_key=serving_default; expand_gru_op_structure=True; enable_match_gathernd=False; enable_framework_trace=False; input_encoding=[]; dump_io_config_template=; onnx_summary=False; disable_match_lstms=False; soc_model=; keep_int64_inputs=False; disable_batchnorm_folding=False; preserve_io=[['layout']]; multi_time_steps_lstm=False; debug=-1; batch=None; custom_op_config_paths=None; preprocess_roi_pool_inputs=True; backend=; saved_model_tag=serve; dump_custom_io_config_template=; dumpIR=False; align_matmul_ranks=True; dump_value_info=False; squash_box_decoder=True; define_symbol=None; inject_cast_for_gather=True; dump_inferred_model=False; enable_tensor_deduplication=False; perform_sequence_construct_optimizer=False; adjust_nms_features_dims=True; partial_graph_input_name=None; disable_qnn_op_config_validation=False; apply_masked_softmax=uncompressed; input_dim=[['x', '1,83,560'], ['prompt', '1,4']]; dump_exported_onnx=False"
Quantizer command: N/A
DLC created with converter version: 2.32.6.250402152434_116405
Info of graph: model-opset-17
Id,Name,Type,Inputs,Outputs,Out Dims,Runtimes,Parameters
0,x.nfc,Transpose,"x (data type: Float_32; tensor dimension: [1,83,560]; tensor type: APP_WRITE) [NW Input]","x.nfc (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)",1x560x83,A D G C,packageName: qti.aisw
,,,,,,,"perm: [0, 2, 1]"
1,/embed/Gather,Gather,"embed.weight (data type: Float_32; tensor dimension: [16,560]; tensor type: STATIC)","/embed/Gather_output_0 (data type: Float_32; tensor dimension: [1,4,560]; tensor type: NATIVE)",1x4x560,A D G C,axis: 0
,,,"prompt (data type: Int_32; tensor dimension: [1,4]; tensor type: APP_WRITE) [NW Input]",,,,packageName: qti.aisw
2,/embed/Gather_output_0.nfc,Transpose,"/embed/Gather_output_0 (data type: Float_32; tensor dimension: [1,4,560]; tensor type: NATIVE)","/embed/Gather_output_0.nfc (data type: Float_32; tensor dimension: [1,560,4]; tensor type: NATIVE)",1x560x4,A D G C,packageName: qti.aisw
,,,,,,,"perm: [0, 2, 1]"
3,/Add,Eltwise_Binary,"x.nfc (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)","/Add_output_0 (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)",1x560x83,A D G C,operation: 0
,,,"/Constant_output_0 (data type: Float_32; tensor dimension: [1,560,1]; tensor type: STATIC)",,,,packageName: qti.aisw
4,/Mul,Eltwise_Binary,"/Add_output_0 (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)","/Mul_output_0 (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)",1x560x83,A D G C,operation: 13
,,,"/Constant_1_output_0 (data type: Float_32; tensor dimension: [1,560,1]; tensor type: STATIC)",,,,packageName: qti.aisw
5,/Concat,Concat,"/embed/Gather_output_0.nfc (data type: Float_32; tensor dimension: [1,560,4]; tensor type: NATIVE)","/Concat_output_0 (data type: Float_32; tensor dimension: [1,560,87]; tensor type: NATIVE)",1x560x87,A D G C,axis: 2
,,,"/Mul_output_0 (data type: Float_32; tensor dimension: [1,560,83]; tensor type: NATIVE)",,,,packageName: qti.aisw
